job_title,company_name,company_location,work_method,post_date,work_time,description,fecha_scraping,id_job
Becario Analista de datos,Xcalibur Multiphysics,"Madrid, Comunidad de Madrid, España",Presencial,hace 2 días,Jornada completa,"Acerca del empleo
Grupo Internacional líder en el sector de la geofísica aérea busca para sus oficinas centrales de Madrid un Becario o recién licenciado de Grado Universitario de Matemáticas, física o ingeniería.

MISION GENERAL DEL PUESTO:

Apoyar en el desarrollo y creación del departamento de I+D+I.

REQUISITOS

Conocimientos en técnica de análisis de datos, desde la estadística clásica a las técnicas de Inteligencia Artificial.
Conocimientos de programación en Python y en sus librerías de manejo de datos.
Manejo profesional del Ingles tanto escrito como hablado. El trabajo puede desarrollarse en inglés en un tanto por ciento elevado del tiempo
Se valorará muy positivamente conocimientos y experiencia en el manejo de Pytorch y/o TensorFlow.
Se valorará muy positivamente conocimientos en sistemas de información geográfico o tratamientos de imágenes.


PERFIL:

Grado Universitario de Matemáticas, física o ingeniería.
No experiencia requerida.

PERSONALIDAD:

Espíritu creativo y gusto por resolver retos tecnológicos
capacidad de trabajo en equipo.
innovador
multitasking
control de estrés por periodos de alto volumen de trabajo
Tiene que asumir retos y ser flexible, al encontrase en un sector muy dinámico e innovador.
Disponibilidad de trabajar por temporadas en el extranjero (todo el mundo).


RETRIBUCIÓN:
Se establecerá en función de la experiencia aportada por el candidato.",23/02/2023,Becario Analista de datosXcalibur Multiphysics
Data Analyst (Tres Cantos),Capitole Consulting,"Tres Cantos, Comunidad de Madrid, España",Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
¡Desde Capitole Consulting buscamos un Data Analyst, con experiencia en sector banca (Tres Cantos)!
En él, se incorporará una persona dentro del área de Smart Data. Se trata de un interesante proyecto relacionado con una importante compañía, dedicada a Desarrollo de Software.

Es una compañía flexible, con muy buen ambiente de trabajo y preocupada por el desarrollo personal y profesional de sus trabajadores.

¿QUÉ REQUISITOS?

☑ Experiencia previa de al menos 3 años en banca, como analista de datos en entornos bancarios.
☑ Experiencia en modelización y explotación de datos.
☑ Experiencia en el uso de herramientas Big Data (Spark, Kafka, Hive, Real Time...).
☑ Conocimiento de herramientas de base de datos (Oracle, MySQL, Hbase...).
☑ Conocimiento de varias técnicas y marcos de ETL.
☑ Conocimientos de programación: Python o R, para la elaboración de ETL.

Horario: Jornada Flexible 40h/semana, Viernes intensiva. Intensiva verano 3 meses.
Modalidad híbrida: 2/3 días de teletrabajo a la semana.

¿POR QUÉ CAPITOLE?

Somos muy 🔝, pero contigo lo seremos más! 🤟 Además tendrás:

Modalidad híbrida.
Flexibilidad horaria para una mejor conciliación de la vida profesional/familiar.
Seguro médico privado gratuito con Sanitas.
Presupuesto de 1200€ en formación individual para que lo utilices en lo que quieras (idiomas, libros, certificaciones, etc.).
Remuneración flexible (Tickets Restaurante, Transporte y Guardería).
Contrato Indefinido.
Posición en formato Híbrido (1 día oficina).
¡¡¡ Team buildings muy guays y EQUIPAZO !!! ✨


¡Atrévete a comprobarlo! 😎

¡¡Conócenos +++! 🎮
https://capitole-consulting.com/game/",23/02/2023,Data Analyst (Tres Cantos)Capitole Consulting
Analista de datos,CGI,Madrid y alrededores,Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
¡Únete a CGI!

¿Quieres formar parte de una de las cinco empresas más grandes de TI y procesos de negocios IT?

Dentro del proceso de desarrollo estratégico de la compañía, en CGI estamos estamos seleccionando un Analista de datos para trabajar en un proyecto bastante importante del sector banca.

Funciones:

Sólidos conocimientos de Excel y googlesheets:
Imprescindible que domine la construcción de tablas dinámicas (y cómo se deben estructurar las tablas de datos origen para obtener en la tabla dinámica la agregación de la info que se quiera mostrar), fórmulas generales ( del tipo arrayformula , sumifs, indirect, etc ) y específicas de googlesheets (como importrange y queries).
Deseable conocimientos de programación en VBA y/o google appscript
Deseable conocimientos de Google data studio y SQL (de cara a futuro ser capaz de mantener la BBDD en la nube que se va a montar en el departamento)
Muy orientado a la fiabilidad de los datos y construcción de soluciones eficientes en herramientas de ofimática (google sheets/google data studio), posibilitando un mantenimiento posterior sencillo y flexible ante la petición de nuevas necesidades de nuestros clientes

Ofrecemos:

Contrato Indefinido
Salario en función de la experiencia
Retribución flexible
Participación en la compra de acciones de la compañía
Seguro de Vida y accidentes


Si nuestra política retributiva te gusta, no te pierdas los beneficios adicionales que tendrás.

.. porque todo no es trabajar...

Te ayudamos a llevar una vida sana con programas realizados a medida para nuestros empleados.
Descuentos en viajes, hoteles, cines, restaurantes, comercios, etc... (porque nos preocupamos por tu económica)
Formación a medida desde el primer momento
Excelente ambiente laboral
Increíble equipo de trabajo
Conciliación laboral, porque tu bienestar es importante para nosotros


¡En CGI te estamos esperando!",23/02/2023,Analista de datosCGI
Data Analyst - Digital Customer,Bahia Principe Hotels & Resorts,"Palma, Islas Baleares, España",Híbrido,hace 1 semana,Jornada completa · Algo de responsabilidad,"Acerca del empleo
Are you passionate about data analysis? Do you consider yourself a team player and detailed-oriented person? Would you like to be part of a data driven team? If so, this could be your opportunity.

As Data Analyst and as a part of our Digital Customer Team, you'll be responsible for ensure data quality and data flow across the entire marketing tech ecosystem, with special focus on the use of all our Marketing Stack Technology, including CDP (Tealium), Tag Managment, Marketing Automation (Salesforce), CRM (Salesforce), Google Analytics and the likes.

Functions:

Responsible for developing automated, scalable reporting and analytics solutions and performance monitoring tools for end users (Google Analytics, DataStudio).
Perform complex analysis related to precise business questions and deliver actionable insights.
Build and automate data pipelines to enable faster and easier analysis.
Communicate and share results & insights with all kinds of stakeholders and other corporate divisions.
Involvement in cross-division projects related to transformation & digitalization.

We are looking for:

Education background: Engineering, Mathematics, Economics, IT Engineering or equivalent degree with a solid technical & analytical background.
Advanced English proficiency.
Some Background in Data Quality and Business Intelligence.
Some background in ETL Processes (Data extraction, treatment).
Some form of Knowledge and use of DataBases (SQL, PL-SQL, SAS).
Working knowledge of analytical tools, such as Google Analytics, DataStudio, Power BI, Microstrategy.
Some form of knowledge on visualization and data analysis technologies on cloud like Google BigQuery.
Excellent written and verbal communication; extremely proficient in presentation writing tools (e.g., PowerPoint, Slides).
Analytical, passionate about numbers, organized and highly detail-oriented.
Strong business orientation and development drive; able to provide insights.
Team player, reliable, self-motivated, and self-disciplined individual capable of executing on multiple projects simultaneously within a fast-paced environment working with cross functional teams.
The ability to work with minimal guidance, be proactive, and handle uncertainty, ambiguity, and the challenge of quickly evolving goals.
Be an ambassador of agile methodology workflow across the company.
Proven experience in statistical analysis will be highly valued.

We offer you:

Dynamic and challenging environment.
Home office hybrid model.
Work-life balance policies.
Training programs.
Benefits and discounts in the Group products.
Flexible compensation program.",23/02/2023,Data Analyst - Digital CustomerBahia Principe Hotels & Resorts
Data Analyst,Carrefour España,"Madrid, Comunidad de Madrid, España",Híbrido,hace 3 semanas,Jornada completa · Intermedio,"Acerca del empleo
Desde Carrefour tenemos la necesidad de incorporar un perfil de Data Analyst para ser parte del área de analítica de cliente a la dirección de Data para nuestra Compañía.

La misión del puesto será analizar, dar formato y presentar el histórico del Dato Estos análisis serán la base para el trabajo de los Key Account Managers con los que esta persona trabajará de forma muy directa.

Las principales responsabilidades serán:

Creación de KPIs y métricas que permita seguir el negocio

Identificación de segmentos que optimicen las acciones comerciales.

Realización de análisis de comportamiento del Cliente con el objetivo de encontrar patrones de comportamiento que nos permitan realizar: Modelos analíticos.

Realizar análisis ad-hoc según necesidades de negocio

Conocimientos necesarios:

Conocimiento en lenguaje SQL

Conocimiento herramientas ETL (tipo Alteryx)

Conocimiento herramientas de visualización datos (tipo Tableau, Power BI)

Experiencia en gestión BBDD

Experiencia en plataformas de envíos comunicación (herramientas similares a MKTC).

Competencias personales

Persona con capacidad de análisis

Capacidad de identificación de relaciones

Proactividad

Que te ofrecemos desde Carrefour:
La oportunidad de crecer y desarrollarte profesionalmente, gracias a que somos una compañía en constante expansión y evolución.
Formar parte de una multinacional que apuesta por el uso de las últimas tecnologías, te permitirá trabajar en diversos proyectos y estar en continua formación.
Un salario competitivo en el mercado, junto con ventajas y beneficios para los colaboradores/as.
Posibilidad de trabajar en un ambiente dinámico.
Compartir nuestro compromiso con la inclusión, ayudando desde la Fundación Solidaridad Carrefour a mejorar la situación de muchas personas en riesgo de exclusión social.

Valoraremos todas las candidaturas interesadas y si eres la persona seleccionada para avanzar en el proceso, nos pondremos en contacto contigo para darte más detalles del puesto y conocer tu perfil.

¡Muchas gracias!",23/02/2023,Data AnalystCarrefour España
Analista de datos junior MicroStrategy,Apiux Tecnología,"Madrid, Comunidad de Madrid, España",Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
¡Apiux está liderando la innovación digital en las empresas españolas!

Te estamos buscando, ¿pero sabes qué es Apiux? Somos una compañía que trabaja para impulsar la evolución digital de las organizaciones del mundo, a través de procesos, tecnología y el talento de las personas.

Buscamos un Analista de datos junior MicroStrategy para trabajar en modalidad Híbrida en Madrid.

Se requiere:
✅Mínimo 1 año de experiencia en desarrollo Microstrategy.
✅Conocimientos en: Metodologías de desarrollo, diseño funcional y técnico de aplicaciones, modelado de datos, lenguajes: SQL, Java, Python, VBScripts.


Beneficios:
✅ Contrato indefinido, 23 días de vacaciones hábiles por año laborado.
✅ Apiux Academy: Accede a capacitaciones, tutoriales técnicos e interacción con la comunidad Dev para desarrollar al máximo tu talento.
✅ Happy Points: Acumula puntos por tus logros alcanzados y canjealos por días libres. También por cada año trabajado ganas puntos equivalentes a 4 días libres
✅ Descuentos y bonos: descuentos en Open English y bonos por referidos, boda y nacimiento de hijos.
✅ Día de cumpleaños libre
✅ Salario: de acuerdo a pretensiones económicas del candidato",23/02/2023,Analista de datos junior MicroStrategyApiux Tecnología
Data Analyst - Tableau / Power BI,UNIR - La Universidad en Internet,"Madrid, Comunidad de Madrid, España",Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
¿Te gustaría aportar y seguir mejorando en tus conocimientos de programación en un entorno dinámico, flexible, y puntero en tecnología?
En UNIR, la Universidad en Internet, buscamos un Data Analyst con manejo de Tableau y PowerBI, que se encargue de analizar datos extraídos de nuestras BBDD y de fuentes externas y realizar informes en base a los resultados obtenidos, para ayudar en la toma de decisiones a los diferentes departamentos de la Universidad.

¿Quieres saber qué puedes conseguir con esta oportunidad?
Podrás disfrutar de las mejores condiciones formativas con un 80% de descuento en toda la oferta de UNIR.
Horario: Lunes a Jueves, 9:00 am –18:15 pm/Viernes 9.00 am -14:00pm (1h de flexibilidad)
Contrato indefinido.
Modelo híbrido.
Te sumarás a una empresa tecnológica, de primer nivel en un equipo de trabajo, joven y dinámico.
Estarás rodeado de diversidad tecnológica y tendrás la posibilidad de formarte en tecnologías punteras.

¿Cuáles serán tus principales responsabilidades?
Creación y mejora de Dashboard en Tableau.
Transformar, enriquecer y preparar los datos para su análisis y visualización en Cuadros de Mando.
Definición de KPI’s
Diseño, actualización y control de reporting diario y semanal.
¿Qué nos puedes ofrecer?
Al menos dos años en el uso continuo de Tableau para visualización y seguimiento del negocio.
Realización de dashboard en alguna otra herramienta de visualización como Excel o Power BI.
Transformación, enriquecimiento y preparación de los datos para su análisis y visualización.
SQL básico
Se valora conocimiento en otras herramientas para de Reporting y tratamiento de datos como Power BI, SAS o similares.

“En el GRUPO EDUCATIVO se valora la diversidad como fuente de talento y por ello trabajamos para impulsar un entorno inclusivo en el que se promueve el respeto, la pertenencia y el compromiso de forma que todas las personas puedan participar en igualdad de oportunidades. Invitamos a todas las personas a inscribirse con independencia del origen, circunstancias, bagaje o condición.”
Una de las ventajas de trabajar en una Universidad, es la posibilidad de seguir creciendo personal y profesionalmente.

¿Te unes?",23/02/2023,Data Analyst - Tableau / Power BIUNIR - La Universidad en Internet
Becario Analista de datos,Xcalibur Multiphysics,"Madrid, Comunidad de Madrid, España",Presencial,hace 2 días,Jornada completa,"Acerca del empleo
Grupo Internacional líder en el sector de la geofísica aérea busca para sus oficinas centrales de Madrid un Becario o recién licenciado de Grado Universitario de Matemáticas, física o ingeniería.

MISION GENERAL DEL PUESTO:

Apoyar en el desarrollo y creación del departamento de I+D+I.

REQUISITOS

Conocimientos en técnica de análisis de datos, desde la estadística clásica a las técnicas de Inteligencia Artificial.
Conocimientos de programación en Python y en sus librerías de manejo de datos.
Manejo profesional del Ingles tanto escrito como hablado. El trabajo puede desarrollarse en inglés en un tanto por ciento elevado del tiempo
Se valorará muy positivamente conocimientos y experiencia en el manejo de Pytorch y/o TensorFlow.
Se valorará muy positivamente conocimientos en sistemas de información geográfico o tratamientos de imágenes.


PERFIL:

Grado Universitario de Matemáticas, física o ingeniería.
No experiencia requerida.

PERSONALIDAD:

Espíritu creativo y gusto por resolver retos tecnológicos
capacidad de trabajo en equipo.
innovador
multitasking
control de estrés por periodos de alto volumen de trabajo
Tiene que asumir retos y ser flexible, al encontrase en un sector muy dinámico e innovador.
Disponibilidad de trabajar por temporadas en el extranjero (todo el mundo).


RETRIBUCIÓN:
Se establecerá en función de la experiencia aportada por el candidato.",23/02/2023,Becario Analista de datosXcalibur Multiphysics
Becario Analista de datos,Xcalibur Multiphysics,"Madrid, Comunidad de Madrid, España",Presencial,hace 2 días,Jornada completa,"Acerca del empleo
Grupo Internacional líder en el sector de la geofísica aérea busca para sus oficinas centrales de Madrid un Becario o recién licenciado de Grado Universitario de Matemáticas, física o ingeniería.

MISION GENERAL DEL PUESTO:

Apoyar en el desarrollo y creación del departamento de I+D+I.

REQUISITOS

Conocimientos en técnica de análisis de datos, desde la estadística clásica a las técnicas de Inteligencia Artificial.
Conocimientos de programación en Python y en sus librerías de manejo de datos.
Manejo profesional del Ingles tanto escrito como hablado. El trabajo puede desarrollarse en inglés en un tanto por ciento elevado del tiempo
Se valorará muy positivamente conocimientos y experiencia en el manejo de Pytorch y/o TensorFlow.
Se valorará muy positivamente conocimientos en sistemas de información geográfico o tratamientos de imágenes.


PERFIL:

Grado Universitario de Matemáticas, física o ingeniería.
No experiencia requerida.

PERSONALIDAD:

Espíritu creativo y gusto por resolver retos tecnológicos
capacidad de trabajo en equipo.
innovador
multitasking
control de estrés por periodos de alto volumen de trabajo
Tiene que asumir retos y ser flexible, al encontrase en un sector muy dinámico e innovador.
Disponibilidad de trabajar por temporadas en el extranjero (todo el mundo).


RETRIBUCIÓN:
Se establecerá en función de la experiencia aportada por el candidato.",23/02/2023,Becario Analista de datosXcalibur Multiphysics
Data Analyst (Tres Cantos),Capitole Consulting,"Tres Cantos, Comunidad de Madrid, España",Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
¡Desde Capitole Consulting buscamos un Data Analyst, con experiencia en sector banca (Tres Cantos)!
En él, se incorporará una persona dentro del área de Smart Data. Se trata de un interesante proyecto relacionado con una importante compañía, dedicada a Desarrollo de Software.

Es una compañía flexible, con muy buen ambiente de trabajo y preocupada por el desarrollo personal y profesional de sus trabajadores.

¿QUÉ REQUISITOS?

☑ Experiencia previa de al menos 3 años en banca, como analista de datos en entornos bancarios.
☑ Experiencia en modelización y explotación de datos.
☑ Experiencia en el uso de herramientas Big Data (Spark, Kafka, Hive, Real Time...).
☑ Conocimiento de herramientas de base de datos (Oracle, MySQL, Hbase...).
☑ Conocimiento de varias técnicas y marcos de ETL.
☑ Conocimientos de programación: Python o R, para la elaboración de ETL.

Horario: Jornada Flexible 40h/semana, Viernes intensiva. Intensiva verano 3 meses.
Modalidad híbrida: 2/3 días de teletrabajo a la semana.

¿POR QUÉ CAPITOLE?

Somos muy 🔝, pero contigo lo seremos más! 🤟 Además tendrás:

Modalidad híbrida.
Flexibilidad horaria para una mejor conciliación de la vida profesional/familiar.
Seguro médico privado gratuito con Sanitas.
Presupuesto de 1200€ en formación individual para que lo utilices en lo que quieras (idiomas, libros, certificaciones, etc.).
Remuneración flexible (Tickets Restaurante, Transporte y Guardería).
Contrato Indefinido.
Posición en formato Híbrido (1 día oficina).
¡¡¡ Team buildings muy guays y EQUIPAZO !!! ✨


¡Atrévete a comprobarlo! 😎

¡¡Conócenos +++! 🎮
https://capitole-consulting.com/game/",23/02/2023,Data Analyst (Tres Cantos)Capitole Consulting
