job_title,company_name,company_location,work_method,post_date,work_time,description,fecha_scraping,id_job
"Business Intelligence Consultant (Bangkok Based, Relocation Provided)",Agoda,"Madrid, Comunidad de Madrid, España",Híbrido,hace 6 días,Jornada completa,"Acerca del empleo
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

About The Team

The People Team is a purveyor of opportunity, searching the globe for the most talented individuals and offering them an open, collaborative workplace. By prioritizing skill and potential, we have cultivated a powerful assembly of professionals through our drive for equal opportunity and diversity. We make the move to Agoda a breeze with assisted onboarding programs, and we continue to support and enrich our thousands of Agoda employees through individual growth with outstanding learning programs and various means of assistance. Our development of incredible benefits has ensured everyone can stay strong, healthy, and happy during their time at Agoda. Leading ambitious changes and making a positive impact in the lives of our employees, the People Team is a crucial and rewarding part of the Agoda family.

The Opportunity

We are looking for a  People BI Specialist  whose main focus areas are providing visibility and insights for people-related issues through Business Intelligence tools like Tableau and SQL, managing data warehouses, building ETL processes, and helping build other tools to optimize the business. This would entail liaising with key stakeholders in the People team, IT team, and other teams to provide the data tools and support necessary for the business.

In This Role, You’ll Get To

Creating, and designing dashboards, to help greater maximize the People team’s business impact
Working closely with internal stakeholders, such as IT, People, and Global Services partners to gather business requirements into dashboards and reports
Designing and managing the solutions empowering end-users to be self-reliant
Understanding how HR data is built and used in a global company

What You’ll Need To Succeed

3+ years of experience with BI & analytics tools (SQL, Tableau, Metabase or similar technologies)
Good English communication skills and the ability to influence peers and build strong relationships within HR and cross-functionally are required
Excellent analytical and problem-solving skills
Work professionally to understand business requests and be able to suggest proper BI solutions which are measurable and scalable

It’s Great If You Have

A global perspective and experience working with diverse cultures
Consultant experience
Experience with ETL tools, data warehouse design, data modeling or DBA

#Pakistan #Bangladesh #Manila #HoChiMinh #Nigeria #SriLanka #Jakarta #Singapore #KualaLumpur #Prague #Berlin #Madrid #Sofia #Budapest #Lisbon #Rome #Columbia #Atlanta #GreaterSaoPaulo

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.",16/02/2023,"Business Intelligence Consultant (Bangkok Based, Relocation Provided)Agoda"
Analista de datos,ID Finance,"Barcelona, Cataluña, España",Presencial,hace 1 semana,Jornada completa · Algo de responsabilidad,"Acerca del empleo
ROLE PURPOSE
To collect, organize and interpret statistical information to transform to specific actions. You will also monitor performance and quality control plans to identify improvements.

PRIMARY RESPONSIBILITIES
SQL querying and result visualization
Data gathering and analysis, searching patterns.
Statistical analysis of portfolio performance
Risk KPIs monitoring and improvement actions preparation.
Monitoring and analysis of credit portfolio and credit process efficiency
Report’s creation and improvement
Analysis of external providers data to be included into statistical models.
Mathematical forecasting model preparation

Skills:
Strong analytical and mathematical skills and mind.
Strong Knowledge of and experience with databases (SQL –ideally MySQL etc.) data visualization packages (Tableau, Looker, etc.).
High attention to detail.
Good organisational/time management skills.
Team player
Knowledge/Abilities:
Numerical mindset and able to get insights out of data.
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.).
Methodological way of working and ability to cope with competing demands and prioritize tasks accordingly.

PREFERRED QUALIFICATIONS
Degree in Statistics or Mathematics or a related subject involving math’s, such as economics or data science.
Fluent English - spoken and written.
At least 1 year of experience as Data Analyst / Credit Risk Analyst
Ability to work independently and manage multiple priorities.
Analytical and strategic mindset
The position will require interactions with various groups including finance, marketing, operations, product, IT technology and compliance.

BENEFITS
Attractive compensations, health benefit, kitchen with free coffee and fruit each Monday, Wednesday and Friday.
Team building activities and work in an international and passionate environment.",16/02/2023,Analista de datosID Finance
Analista de Datos Azure (Sector Energético),Adecco Outsourcing,Madrid y alrededores,Híbrido,hace 6 días,Jornada completa · Algo de responsabilidad,"Acerca del empleo
¿Tienes experiencia recopilando, filtrando e interpretando bases de datos? ¿Estás buscando un proyecto de larga duración que te aporte estabilidad? ¡Esta es tu oferta!

Desde Adecco Outsourcing queremos ofrecerte la oportunidad de trabajar como Analista de Datos (con conocimiento en Azure) en el servicio que prestamos a uno de nuestros clientes líder en el sector energético en un proyecto estable.

Trabajarás de lunes a jueves en horario de 9h a 18h y los viernes de 8h a 13h y podrás disfrutar de la tarde de los viernes libre.
Creemos en la flexibilidad y por ello te ofrecemos un modelo híbrido en el que puedes trabajar desde casa dos días a la semana.
Se trata de un contrato indefinido (FD Contrata) y una remuneración de 30.000 euros brutos anuales.

¿Cuáles serán tus funciones?
Tus funciones en el puesto se centrarán principalmente en recopilar, filtrar e interpretar bases de datos:
Creación, automatización y análisis de reportes de gestión.
Implementación de métricas de gestión.
Análisis y creación de informes de gestión según requerimientos.
Desarrollo y cálculo de modelos de incentivos y comisiones para diferentes equipos de la empresa.
Asesoría en creación de modelos de scoring.
Automatización de informes periódicos.
Habilidad en el cruce de datos y segmentaciones de información.
Aplicación de algoritmos de reconocimiento óptico para transformar textos en imagen y facilitar su análisis.

¿Qué necesitas?
Conocimiento en herramientas Office.
Experiencia con las herramientas Power BI.
Experiencia en herramientas Azure, tanto en consultas, como subida de datos.
Experiencia en Triggers & programaciones (BBDD SQL u Oracle).
Experiencia con la herramienta Power Automate (Robots para copia, descarga y envío de ficheros desde correo, SharePoint, ftp, Programación tareas recurrentes.
Experiencia con la herramienta SQL: Conocimiento avanzado, Estructuras de BBDD relacionales, joins, transformaciones, y enriquecimientos.
Experiencia con programas de Limpieza datos / Cleanising Data: Atención al dato, depuración, seguimiento.

¡Inscríbete ahora! Además, disfruta de numerosas ventajas, beneficios sociales, descuentos y promociones al formar parte de la comunidad Adecco.

Adecco Outsourcing es una empresa comprometida con la igualdad perteneciente a The Adecco Group y especializada en la externalización de servicios cuyo valor añadido son los Recursos Humanos.",16/02/2023,Analista de Datos Azure (Sector Energético)Adecco Outsourcing
Reporting & Insights Analyst - Equipo de Clients & Industries,Deloitte,"Barcelona, Cataluña, España",Híbrido,hace 1 día,Jornada completa · Intermedio,"Acerca del empleo
Buscamos una persona para incorporarse como Especialista en gestión de cuentas para nuestro equipo de Clients & Industries. Formando parte de este equipo, participarás en el desarrollo de los planes de crecimiento y posicionamiento de los clientes estratégicos de alto potencial.

¿Cómo será tu día a día?

Desarrollar y ejecutar los planes de crecimiento de la firma, así como identificar nuevas vías de crecimiento en valor para los mismos.
Apoyar en la construcción de relaciones de valor y gestionar propuestas estratégicas, involucrándote en el desarrollo del plan relacional del cliente, así como su coordinación y seguimiento.
Dar soporte al desarrollo de negocio , identificando las oportunidades de desarrollo y llevando a cabo ejecución del plan comercial.
Interlocución directa con todos los miembros del equipo de cuenta, desarrollando relaciones de confianza.Además, mantendrás el contacto con Global para responder a sus solicitudes sobre la información general del cliente (Cuentas estratégicas globales)

¿Cómo te imaginamos?

Ante todo, buscamos a alguien con ganas de desarrollarse profesionalmente y aportar al equipo la mejor solución para los retos de nuestros clientes. Técnicamente, encajarás en el puesto si cumples con estos requisitos:

Titulación en Administración y Dirección de Empresas, Economía o similar. Valoraremos positivamente que hayas cursado MBA o estudios de posgrado.
Experiencia profesional: entre 2 a 5 años de experiencia en gestión de cuentas
Nivel muy alto de inglés y dominio del español. – El desarrollo de la función exige interlocución fluida a nivel oral y escrito con peers internacionales en inglés
Conocimiento y agilidad con herramientas y aplicaciones de análisis de datos. Imprescindible nivel avanzado de Excell y Powerpoint
Capaz de lidiar con diferentes tareas y proyectos al mismo tiempo, sabiendo priorizar y cumplir con los plazos de entrega con la calidad exigida
Habilidad para trabajar en equipo, establecer contactos e intercambiar experiencias
Know-how para tratar con ejecutivos senior diariamente

¿Cómo es trabajar en Deloitte?

Impulsarás tu desarrollo personal y profesional, acompañado/a de personas que te inspirarán y de programas de formación que te ayudarán a sacar tu máximo potencial.

Formarás parte de un entorno diverso, donde encontrarás tantas perspectivas como personas y tantos retos como proyectos.

En Deloitte estamos comprometidos con generar un impacto positivo en la sociedad, en nuestros clientes y en ti. Para garantizarlo, tenemos integrada en nuestra cultura una serie de programas y beneficios entre los que destacan:

Plan de carrera y formación personalizado (específica/técnica, en idiomas y en soft skills ).
Cultura de feedback continuo y de valor (ascendente y descendente).
Programas de acompañamiento y mentoring según categoría.
Programas de voluntariado y acción social de alcance nacional e internacional (WorldImpact).
Programas culturales y equipos deportivos subvencionados (Deloitte Runners Club, pádel, fútbol, vóley y muchos más).
Seguro médico y servicio médico en la oficina: medicina general, enfermería, fisioterapia, bienestar y salud mental, etc.
Programa de flexibilidad.
Plan de retribución flexible y distintos beneficios por ser parte de Deloitte.

¿Quiénes somos?

Deloitte es la firma líder de servicios profesionales en España y en el mundo. Con 22 oficinas en España y 169 en el mundo, ayudamos a las organizaciones en sus retos transformacionales a través de un enfoque de servicios multidisciplinar y especializado por industria.

¿Y ahora qué?

Si crees que este puesto está hecho para ti, haz clic en ‘Enviar candidatura ahora’ y completa tu perfil para que podamos valorar tu solicitud.
Si encajas en el perfil, nuestro equipo de captación se pondrá en contacto contigo para conocerte.
A partir de ahí te iremos guiando por nuestro proceso de selección, o lo que es lo mismo… ¡comenzará tu historia en Deloitte!

What impact will you make?",16/02/2023,Reporting & Insights Analyst - Equipo de Clients & IndustriesDeloitte
Fórmate en Data & Analytics,Hiberus,"Galicia / Galiza, España",Presencial,hace 5 días,Jornada completa · Intermedio,"Acerca del empleo
Hola! 🙋

¿Todavía no conoces HIBERUS TECNOLOGÍA? Somos una empresa de #tecnología construida con un ingrediente diferencial, la HIPERESPECIALIZACIÓN.

Formar parte de Hiberus significa crecimiento, pasión por la tecnología, interés por la innovación, ambiente laboral flexible y colaborativo, compañerismo, aprendizaje, formación continua, motivación y superación ante nuevos retos...y esto es solo el principio.
Somos más de 2.100 profesionales y no paramos de crecer!🙌
Actualmente contamos con más de 20 delegaciones en puntos estratégicos de España, tenemos presencia en 10 países europeos y sede en EEUU.

Trabajamos muy duro, para transformar nuestra vida a través de la tecnología y queremos contar contigo para seguir creciendo.
En la unidad técnica de Data&Analytics somos un equipo de 150 profesionales donde nos formamos continuamente en tecnologías punteras a través de tribus tecnológicas de conocimientos y participamos en proyectos que abarcan todo el ciclo completo del Dato. Nuestro portfolio de proyectos abarca servicios de Business Intelligece, Ingeniería del Dato, Visualización de Datos, Ciencia del Dato, Gobierno del Dato...

Si lo tuyo es el mundo DATA 📊 te gusta estar al día en las últimas tecnologías y quieres formarte ¡Sigue leyendo, te estamos buscando!

🔎¿Qué estamos buscando?
El área de Data & Analytics se suma al objetivo de crecer exponencialmente en proyectos Cloud ☁️, por ello ofrecemos un nuevo curso desde nuestra Hiberus University 👨🏽‍💻 Llevamos 2 ediciones de la Data University ¡y vamos a por la TERCERA!
Buscamos titulados/as universitarios/as en carreras técnicas y estadísticas con motivación y pasión por el mundo de los Datos.
No hace falta que tengas experiencia, simplemente que quieras formarte y unirte a la compañía española que más ha crecido en los dos últimos años.

📋🖋️¿Qué aprenderás?
Una formación remunerada y muy completa de más de 350 horas sobre herramientas y procesos de Data, basada en módulos comunes y especializaciones.
Aprenderás sobre Business Intelligence, ETL, SQL, Power BI, Python, Google Cloud, Airflow, Azure, Snowflake…

💻 ¿En qué proyectos trabajarás?
Tras superar la formación, podrás incorporarte en proyectos punteros de:
Big Data
Business Intelligence & Analytics
Visualización
Data Science
Podrás trabajar en los clientes principales del Ibex 35 de la mano de referente técnicos especialistas en su ámbito. Contarás con un plan de carrera a medida que te hará crecer profesionalmente con formación específica.

🙌¿Qué te ofrecemos?
💼 Formación remunerada en una compañía puramente tecnológica, que forma parte de un gran grupo, solvente y en crecimiento.
🏖️ Ambiente familiar, cercano, ¡como una gran familia!
⏰ Conciliación con nuestra vida personal y laboral mediante horario flexible, acuerdos de teletrabajo, desconexión digital, jornada intensiva viernes y verano.
🤙 Cultura “techie”, nos gusta estar en contacto con la tecnología, herramientas, y últimas novedades!


En Hiberus estamos viviendo un crecimiento explosivo 💥 y queremos que formes parte de nuestro equipo.
Suena bien, ¿verdad? Si quieres saber más, ¡inscríbete y te contamos!
Si quieres saber más busca nuestros hashtag #somoshiberus #lascosasocurrenaquí y conoce todo lo que hacemos.


Hablamos?

www.hiberus.com

#somosHiberus y tú? Te animas?🚀",16/02/2023,Fórmate en Data & AnalyticsHiberus
CX Data Analyst,OK Mobility,"Palma, Islas Baleares, España",Híbrido,hace 6 días,Jornada completa,"Acerca del empleo
¿Te identificas cuando escuchas: Customer first!? ¿Eres una persona analítica y te fijas en los detalles? ¡Queremos saber más de ti!

OK Mobility llegó para revolucionar el mundo de la movilidad. 🚗🛵🚛

Somos más de 650 personas dando lo mejor de sí mismas y con una misma misión: ayudar a las personas a moverse hacia lo que más quieren. Trabajamos en un ambiente desafiante y dinámico, formado por un gran equipo de profesionales que cree que con esfuerzo, voluntad y constancia seguiremos consiguiendo cosas extraordinarias.

En este momento estamos inmersos/as en pleno proceso de expansión y crecimiento y por ello, actualmente estamos buscando una persona que se incorpore en nuestra sede corporativa de Palma, como CX Data Analyst, cuya misión será la consolidación y análisis de la VoC (NPS, CSAT, Arquetipos, etc.) del cliente a través de los diferentes métodos implementados para analizar en detalle los puntos críticos dentro del Customer Journey en las diferentes líneas de negocio de nuestra Compañía.

¿Qué harás en tu nueva posición?
- Trabajarás en identificar cuáles son las tendencias de mercado y/o posibles áreas de necesidad que no se están cubriendo actualmente.
- Elaborarás informes basados en los resultados de la investigación y el análisis de datos con el objetivo de facilitar la toma de decisiones.
- Investigarás cuáles son las preferencias, necesidades y actitudes de nuestros clientes sobre los productos o servicios.
- Revisarás los datos con la misión de identificar patrones de comportamiento o preferencias de los clientes (datos históricos como actuales). Actualización de arquetipos dinámicos.
- Colaborarás en la realización de entrevistas y grupos de discusión con nuestros clientes para recabar su opinión sobre los productos
o servicios existentes.

¿Qué te pedimos?
Licenciatura en Marketing, Comunicación o similar.
Experiencia previa en puestos similares.
¿Habilidades informáticas? ¡Sí! Necesitamos que tengas experiencia en el manejo de Excel, Power BI y CRM. Del resto, nosotr@s nos encargaremos de formarte.
¿Idiomas? ¡Sí! Nuestra compañía trabaja a nivel nacional e internacional y por ello necesitamos que la persona que se incorpore tenga nivel fluido de inglés. Cualquier otro idioma será valorado muy positivamente.

Valoraremos
Excelentes habilidades interpersonales.
Mentalidad práctica, flexible y resolutiva.
Fuertes habilidades analíticas y de resolución de problemas.

¿Qué te ofrecemos?
Un proyecto estable, en crecimiento, con contratación indefinida.
Horario flexible de entrada/salida y flexibilidad de jornada de trabajo de lunes a jueves. Viernes tardes libres.
Modelo híbrido de trabajo.
Plan de retribución flexible (seguro privado de salud para ti y los familiares con los que convives, formación, tickets guardería, restaurant...).

Trabajarás en un ambiente internacional, multicultural y de ritmo rápido donde cada día es diferente. Formarás parte de un equipo que ayuda a facilitar la movilidad de las personas y convertir sus desplazamientos en una experiencia inolvidable.

¡Inscríbete, te estamos buscando!

¿Todavía quieres saber más? Visítanos en nuestro Instagram @lifeatok",16/02/2023,CX Data AnalystOK Mobility
Consultor Power BI,Avanade,"Barcelona, Cataluña, España",Presencial,hace 1 semana,Jornada completa · Algo de responsabilidad,"Acerca del empleo
Job Description

Buscamos gente como tú: ¡Que disfrutas de tu trabajo, aceptas retos para llegar más lejos en tu carrera, te sientes orgulloso de pertenecer a una compañía Top Employer, te gusta el trabajo en equipo y colaborar con tu experiencia para que todos seamos mejores en nuestro día a día!

¿Quieres recibir formación en últimas tecnologías y tener la posibilidad de certificarte de manera gratuita?

¿Quieres trabajar en un ambiente dinámico, con proyectos de gran envergadura aplicando tecnología de última generación y trabajar en equipo con profesionales de primer nivel?

Buscamos en cualquier localización a varios Consultores Power BI , apasionados por los datos en todas sus formas y procesos. Extracción, transformación, procesamiento y visualización.

Imprescindible

Experto en PowerBI, tanto en las áreas de visualización, como especialmente, modelado
Conocimiento de las herramientas complementarias a PowerBI (DAX Studio, Tabular Editor,)
Optimización de rendimiento en PowerBI
Utilización de Data Warehouses y modelización usando metodologías Kimball/Inmon
Experiencia en entornos empresariales complejos y con grandes volumetrías de datos
Trabajo en equipo usando frameworks agile
Interlocución con áreas de negocio
Comunicación en inglés
Proactividad y ganas de aportar.

Deseable

Experiencia usando PowerBI en escenarios de tiempo real/streaming
Conocimiento de otras herramientas de la Power Platform (PowerAutomate, PowerApps)
Experiencia en plataformas de Datos cloud (Snowflake, Azure Synapse,..)

¿Qué beneficios ofrecemos en Avanade?

Horario que te permitirá conciliar vida laboral y personal.
Participación en proyectos importantes para clientes de primer nivel nacional e internacional.
Una atractiva remuneración compuesta por un salario bruto anual y un programa de beneficios corporativos y retribución flexible.

Puedes revisar la lista completa de beneficios en el siguiente enlace: benefits-spain.pdf (avanade.com)

¿Estás interesado? ¡Inscríbete ahora!

Te esperamos ¡Avanade es tu compañía!

About Avanade

Avanade is the leading provider of innovative digital, cloud and advisory services, industry solutions and design-led experiences across the Microsoft ecosystem. Every day, our 59,000 professionals in 26 countries make a genuine human impact for our clients, their employees and their customers.

We have been recognized as Microsoft’s Global SI Partner of the Year more than any other company. With the most Microsoft certifications (60,000+) and 18 (out of 18) Gold-level Microsoft competencies, we are uniquely positioned to help businesses grow and solve their toughest challenges.

We are a people first company, committed to providing an inclusive workplace where employees feel comfortable being their authentic selves. As a responsible business, we are building a sustainable world and helping young people from underrepresented communities fulfil their potential.

Majority owned by Accenture, Avanade was founded in 2000 by Accenture LLP and Microsoft Corporation. Learn more at www.avanade.com .",16/02/2023,Consultor Power BIAvanade
"Business Intelligence Consultant (Bangkok Based, Relocation Provided)",Agoda,"Madrid, Comunidad de Madrid, España",Híbrido,hace 6 días,Jornada completa · Algo de responsabilidad,"Acerca del empleo
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

About The Team

The People Team is a purveyor of opportunity, searching the globe for the most talented individuals and offering them an open, collaborative workplace. By prioritizing skill and potential, we have cultivated a powerful assembly of professionals through our drive for equal opportunity and diversity. We make the move to Agoda a breeze with assisted onboarding programs, and we continue to support and enrich our thousands of Agoda employees through individual growth with outstanding learning programs and various means of assistance. Our development of incredible benefits has ensured everyone can stay strong, healthy, and happy during their time at Agoda. Leading ambitious changes and making a positive impact in the lives of our employees, the People Team is a crucial and rewarding part of the Agoda family.

The Opportunity

We are looking for a  People BI Specialist  whose main focus areas are providing visibility and insights for people-related issues through Business Intelligence tools like Tableau and SQL, managing data warehouses, building ETL processes, and helping build other tools to optimize the business. This would entail liaising with key stakeholders in the People team, IT team, and other teams to provide the data tools and support necessary for the business.

In This Role, You’ll Get To

Creating, and designing dashboards, to help greater maximize the People team’s business impact
Working closely with internal stakeholders, such as IT, People, and Global Services partners to gather business requirements into dashboards and reports
Designing and managing the solutions empowering end-users to be self-reliant
Understanding how HR data is built and used in a global company

What You’ll Need To Succeed

3+ years of experience with BI & analytics tools (SQL, Tableau, Metabase or similar technologies)
Good English communication skills and the ability to influence peers and build strong relationships within HR and cross-functionally are required
Excellent analytical and problem-solving skills
Work professionally to understand business requests and be able to suggest proper BI solutions which are measurable and scalable

It’s Great If You Have

A global perspective and experience working with diverse cultures
Consultant experience
Experience with ETL tools, data warehouse design, data modeling or DBA

#Pakistan #Bangladesh #Manila #HoChiMinh #Nigeria #SriLanka #Jakarta #Singapore #KualaLumpur #Prague #Berlin #Madrid #Sofia #Budapest #Lisbon #Rome #Columbia #Atlanta #GreaterSaoPaulo

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.",16/02/2023,"Business Intelligence Consultant (Bangkok Based, Relocation Provided)Agoda"
"Business Intelligence Consultant (Bangkok Based, Relocation Provided)",Agoda,"Madrid, Comunidad de Madrid, España",Híbrido,hace 1 día,Jornada completa · Intermedio,"Acerca del empleo
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

About The Team

The People Team is a purveyor of opportunity, searching the globe for the most talented individuals and offering them an open, collaborative workplace. By prioritizing skill and potential, we have cultivated a powerful assembly of professionals through our drive for equal opportunity and diversity. We make the move to Agoda a breeze with assisted onboarding programs, and we continue to support and enrich our thousands of Agoda employees through individual growth with outstanding learning programs and various means of assistance. Our development of incredible benefits has ensured everyone can stay strong, healthy, and happy during their time at Agoda. Leading ambitious changes and making a positive impact in the lives of our employees, the People Team is a crucial and rewarding part of the Agoda family.

The Opportunity

We are looking for a  People BI Specialist  whose main focus areas are providing visibility and insights for people-related issues through Business Intelligence tools like Tableau and SQL, managing data warehouses, building ETL processes, and helping build other tools to optimize the business. This would entail liaising with key stakeholders in the People team, IT team, and other teams to provide the data tools and support necessary for the business.

In This Role, You’ll Get To

Creating, and designing dashboards, to help greater maximize the People team’s business impact
Working closely with internal stakeholders, such as IT, People, and Global Services partners to gather business requirements into dashboards and reports
Designing and managing the solutions empowering end-users to be self-reliant
Understanding how HR data is built and used in a global company

What You’ll Need To Succeed

3+ years of experience with BI & analytics tools (SQL, Tableau, Metabase or similar technologies)
Good English communication skills and the ability to influence peers and build strong relationships within HR and cross-functionally are required
Excellent analytical and problem-solving skills
Work professionally to understand business requests and be able to suggest proper BI solutions which are measurable and scalable

It’s Great If You Have

A global perspective and experience working with diverse cultures
Consultant experience
Experience with ETL tools, data warehouse design, data modeling or DBA

#Pakistan #Bangladesh #Manila #HoChiMinh #Nigeria #SriLanka #Jakarta #Singapore #KualaLumpur #Prague #Berlin #Madrid #Sofia #Budapest #Lisbon #Rome #Columbia #Atlanta #GreaterSaoPaulo

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.",16/02/2023,"Business Intelligence Consultant (Bangkok Based, Relocation Provided)Agoda"
Analista de datos,ID Finance,"Barcelona, Cataluña, España",Presencial,hace 5 días,Jornada completa · Intermedio,"Acerca del empleo
ROLE PURPOSE
To collect, organize and interpret statistical information to transform to specific actions. You will also monitor performance and quality control plans to identify improvements.

PRIMARY RESPONSIBILITIES
SQL querying and result visualization
Data gathering and analysis, searching patterns.
Statistical analysis of portfolio performance
Risk KPIs monitoring and improvement actions preparation.
Monitoring and analysis of credit portfolio and credit process efficiency
Report’s creation and improvement
Analysis of external providers data to be included into statistical models.
Mathematical forecasting model preparation

Skills:
Strong analytical and mathematical skills and mind.
Strong Knowledge of and experience with databases (SQL –ideally MySQL etc.) data visualization packages (Tableau, Looker, etc.).
High attention to detail.
Good organisational/time management skills.
Team player
Knowledge/Abilities:
Numerical mindset and able to get insights out of data.
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.).
Methodological way of working and ability to cope with competing demands and prioritize tasks accordingly.

PREFERRED QUALIFICATIONS
Degree in Statistics or Mathematics or a related subject involving math’s, such as economics or data science.
Fluent English - spoken and written.
At least 1 year of experience as Data Analyst / Credit Risk Analyst
Ability to work independently and manage multiple priorities.
Analytical and strategic mindset
The position will require interactions with various groups including finance, marketing, operations, product, IT technology and compliance.

BENEFITS
Attractive compensations, health benefit, kitchen with free coffee and fruit each Monday, Wednesday and Friday.
Team building activities and work in an international and passionate environment.",16/02/2023,Analista de datosID Finance
